attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,outlier
0.705557912424633,0.5905744640825836,0.7968984550324836,0.812017205276755,0.8436738253174668,0.6270599687180375,4,4,4,4,0
0.7783625037405283,0.7825035399528255,0.7223909252297082,0.8120067966666185,0.7419591422162278,0.73611134527265,4,4,4,4,0
0.8257633617163478,0.7001908151837499,0.6547290529549397,0.7761976345279359,0.8256214525162634,0.7919951582386476,4,4,4,4,0
0.2976684243319724,0.3585493358469413,0.3295334355600463,0.3049801162807064,0.22057070875162832,0.053594889205082596,0,0,0,0,0
0.24602767367617367,0.27791181063607834,0.15342443973582226,0.2894558314164001,0.40816013315883665,0.2598135168513707,0,0,0,0,0
0.31771355577006344,0.1339326553241603,0.1758544009975256,0.242986838061063,0.2890447339196096,0.07372747031087087,0,0,0,0,0
0.7088385424040444,0.7220047789152751,0.8012367143522693,0.6844806746902536,0.7414035537255284,0.7646555631713886,4,4,4,4,0
0.85998715550141,0.7663867133705036,0.8791086307849996,0.6724105941177732,0.7312222962710516,0.7222012366974847,4,4,4,4,0
0.05274297087364185,0.4656353326294803,0.38022499765413476,0.34741481812828073,0.29577343912680126,0.4822944844225032,4,3,2,0,1
0.6383588090640903,0.7676951130313814,0.7025965511417491,0.8237963239509677,0.7882989040272009,0.7175493159195198,4,4,4,4,0
0.6257321768196237,0.6580712769069793,0.6944509578156518,0.7424956900792898,0.8023292776550109,0.679297697953493,4,4,4,4,0
0.24260128724372182,0.3029952558840592,0.24413723019163497,0.21682290663230178,0.2559837174152924,0.13317419630558067,0,0,0,0,0
0.6418436283463708,0.803305461818255,0.7458581185089928,0.6950791512243565,0.7465849048509117,0.7390560341162242,4,4,4,4,0
0.11152121729131806,0.2233314188249401,0.25025985998091793,0.23316905830864393,0.2683056209799237,0.2094174062138798,0,0,0,0,0
0.1552296321114226,0.06763814629324622,0.29385087732466614,0.28155529504948396,0.16068860586778427,0.257390256804456,0,0,0,0,0
0.6502792795144892,0.9450317909762807,0.6564353530270353,0.7652525809325422,0.707373141743153,0.6872848764158308,4,4,4,4,0
0.6763228942875468,0.6957572632818735,0.7448491403807262,0.8596030343080328,0.6747014749304922,0.6366135303378893,4,4,4,4,0
0.7607175826522314,0.6497308525507733,0.6726540922718006,0.78176486835196,0.8273914483553749,0.9050380075598149,4,4,4,4,0
0.913363760445899,0.7478399105838425,0.7424021609124587,0.7236471840154313,0.7030367788351984,0.7465721105076678,4,4,4,4,0
0.24753356497505452,0.14700843609778258,0.26733699322139365,0.29796183925137554,0.33039166266072784,0.044887001601281395,0,0,0,0,0
0.720663889055237,0.7268333374441642,0.697094522054072,0.8274123790676368,0.7921170408460735,0.8302516918141488,4,4,4,4,0
0.323251957077836,0.23967587449982805,0.1200540690374009,0.2534625355833368,0.2804030498405468,0.33172580981220223,0,0,0,0,0
0.09478958816557695,0.009396023290086347,0.24875574288085173,0.3159927993838523,0.348647640628574,0.18447689968103842,0,3,4,2,1
0.20235830739801386,0.42276639135824223,0.09750200794713423,0.32440994265539136,0.3472317432183255,0.24696625280041412,0,0,0,0,0
0.5862542879846473,0.6356449576039317,0.8483413483970662,0.6153012879715075,0.7090286752033291,0.5961551565562259,3,3,1,4,1
0.3033729727338382,0.19860991355685634,0.09903086694661217,0.3305131746528085,0.20004737241360382,0.35399052189269525,0,0,0,0,0
0.8266399451632795,0.6549504663181648,0.8006251355502877,0.7716021419628873,0.7477365063923281,0.8603054935961015,4,4,4,4,0
0.7337142637032189,0.7106560817932819,0.8227020864537484,0.7298995417533645,0.7340376186377593,0.7767957753442809,4,4,4,4,0
0.3382908243725348,0.35270343949556016,0.17447251780801265,0.24608472902034184,0.4643924198809013,0.17833143011340252,0,0,0,0,0
0.38249975104472417,0.26445626193874966,0.26203748167553226,0.22657303270655926,0.3070602732079425,0.16537074738255625,0,0,0,0,0
0.8846736368489599,0.773745502063094,0.5859483744212939,0.7408851191527429,0.7621865190843761,0.7851631812194052,4,4,4,4,0
0.7190943491564911,0.8270716922489485,0.7600968032579803,0.7960815778341599,0.6840376554911002,0.7483705780312048,4,4,4,4,0
0.7352355528442124,0.9102542880807107,0.8339772009748354,0.7233815888665999,0.7118445192476174,0.7273188698293698,4,4,4,4,0
0.8022134894593135,0.848334659811233,0.7507619580327143,0.7924537385168444,0.7793847765491658,0.746292735536457,4,4,4,4,0
0.649370209457922,0.8822961092084567,0.7164903978251129,0.6167087542046683,0.7068466777502601,0.7325596200110946,4,4,4,4,0
0.15613301668799923,0.12102510090847485,0.20986545733633508,0.2631526692313119,0.33500898649948085,0.2017214234979268,0,0,0,0,0
0.8398607454130584,0.70296823037716,0.8015250378667399,0.6545577714532721,0.8565529072150769,0.8233788833371128,4,4,4,4,0
0.9142429165836666,0.712406238565832,0.6286563398536849,0.8146489667270695,0.8794495782460245,0.6985004260210826,4,4,4,4,0
0.901015735302475,0.7701618994179737,0.8628282670653818,0.6580933851422452,0.8615905073892657,0.7661804312175408,4,4,4,4,0
0.3377409908258937,0.11055994980305228,0.14208560601430634,0.08334682472105817,0.17518914464070828,0.23511774730543267,0,0,0,0,0
0.698142806434786,0.8582124543766532,0.692765154080744,0.7763861895270743,0.9166161399514117,0.7996565815274024,4,4,4,4,0
0.7126964693825869,0.7325539177232252,0.8374084727852932,0.777680018538212,0.576007778684511,0.6290628556038205,4,4,4,4,0
